attribute description, element ns name, element local name
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,flatBorders
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,formProt
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,formsDesign
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,gutterAtTop
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,hidden
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,hideGrammaticalErrors
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,hideMark
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,hideSpellingErrors
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,i
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,iCs
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,ignoreMixedContent
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,imprint
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,isLgl
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,keepLines
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,keepNext
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,kinsoku
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,linkStyles
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,linkToQuery
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,linkedToFile
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,locked
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,mailAsAttachment
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,matchSrc
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,mirrorIndents
