, updatedVersion, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, minRefreshableVersion, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, asteriskTotals, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showItems, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, editData, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, disableFieldList, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showCalcMbrs, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, visualTotals, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showMultipleLabel, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showDataDropDown, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showDrill, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, printDrill, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showMemberPropertyTips, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showDataTips, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, enableWizard, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, enableDrill, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, enableFieldProperties, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, preserveFormatting, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, useAutoFormatting, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, pageWrap, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, pageOverThenDown, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, subtotalHiddenItems, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
