,tag,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,updatedVersion,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,minRefreshableVersion,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,asteriskTotals,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,showItems,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,editData,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,disableFieldList,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,showCalcMbrs,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,visualTotals,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,showMultipleLabel,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,showDataDropDown,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,showDrill,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,printDrill,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,showMemberPropertyTips,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,showDataTips,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,enableWizard,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,enableDrill,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,enableFieldProperties,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,preserveFormatting,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,useAutoFormatting,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,pageWrap,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
,pageOverThenDown,sml_CT_pivotTableDefinition,http://schemas.openxmlformats.org/spreadsheetml/2006/main,pivotTableDefinition
